SITENAME,wmIntegrateUsers,wmConnectionMethod
telemartest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
telemartest4,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
telenortelestetest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
telenortelestetest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
tempredhat,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
temptestlexmark,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test-fmr,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test01ibm,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test02ibm,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test03ibm,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test1dieboldcpq,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
test1fujibr,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test1mhc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test1stryker,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2badgermeter,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test2bd,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2beckmancoulterdanaher,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2concur,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test2dunnhumby,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2extreme,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test2fico,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2fmsucpq,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2gates,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2intergraph,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test2ixiacom,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2jameshardie,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2leviton,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2necam,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test2nextgen,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2novgp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test2polycom,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2quantum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2republicservices,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test2sprint,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test2stryker,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2terremark,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2thomsonreuters,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2tylertech,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2vanguardgroup,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test2vodafonede,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test3dunnhumby,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test3extreme,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test3gates,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test3ixiacom,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test3sprint,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test3stryker,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test3thomsonreuters,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test4ixiacom,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test4sprint,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test4stryker,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test5sprint,wmIntegrateUsers=No,wmConnectionMethod=httpPost
test5stryker,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
test6sprint,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testagco,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testalbazai,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testangolacables,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testbadgermeter,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testbd,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testbeckmancoulterdanaher,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testbetalasermike,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testcarefusion,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testcdc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testcefa,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testconcur,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testcsgroup,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testdata3,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testdiebold,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
testeprize,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testesg,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testexpressotelecom,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testextreme,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testfico,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testfike,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testfmsucpq,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testgates,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testge,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testge-i2,grep: /bmfsweb/testge-i2/global/wmIntegration.ini: No such file or directory,grep: /bmfsweb/testge-i2/global/wmIntegration.ini: No such file or directory
testge1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testgecriticalpower,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
testgeip,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testgreenwayhealth,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testidexx,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testinsperity,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testintergraph,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testixiacom,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testjameshardie,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testjavitscenter,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testkohlerpower,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
testleviton,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
testlexmark,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testmcneilus,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testmhc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testmilacron,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testmitutoyo,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testmms,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testnecam,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testnewscycle,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testnextgen,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testnovgp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testntamexico,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testosi,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testpanduit,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testpanhp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testplantronics,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testpolycom,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testpromega,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testprosegurglobalus,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testquantum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testrapiscan,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
testraymondcorp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testredhat,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
testrepublicservices,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testrsacanada,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testschenck,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testschneider,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testsecuritases,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
testsirsidynix,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testsonosite,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testsprint,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testsunquest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testtams,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testtcl,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testtcl2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testtcl3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testtcl4,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testtektronix,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testthomsonreuters,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testtrimble,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testtylertech,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testvanguardgroup,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testvideojet,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testvodafonede,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testvodafonenl,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
testvodafonenl1,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
testwaterquote,wmIntegrateUsers=No,wmConnectionMethod=httpPost
testwedogeo,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testwilliams,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testwilliamsscotsman,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testxcpq,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testxeroxemea,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
testxyleminc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
trainingge1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
trainingredhat,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
trainrepublic,wmIntegrateUsers=No,wmConnectionMethod=httpPost
trainspectrum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
trainvodafonede,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
transportesmucinotest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
tst27-bastion,-bash: /bigmac/container-setup/runInContainer.sh: No such file or directory,-bash: /bigmac/container-setup/runInContainer.sh: No such file or directory
turbopartestest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
twg-dev,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
twg-int,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
twg-qa1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
twg-qa2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
twg-qa3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
twg-test1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
twg-training,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
twg-uw1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
tylertechcrm,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
tylertechincdev,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
tylertechinctest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
uat-nowtvsales,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
uat2vodafonede,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
uatdata3,wmIntegrateUsers=No,wmConnectionMethod=httpPost
uatextreme,wmIntegrateUsers=No,wmConnectionMethod=httpPost
uatrsacanada,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
uatschneider,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
uatspectrum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
uatvanguardgroup,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
uatvantiv,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
uatvodafonede,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
uatvodafonenl,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
ufitest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ufitest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
uniandestest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
unisystest,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
unisystest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
unitedmedtest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
unitedmedtest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
unitedmedtest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
universalfurnituretest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
vantivllctest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
velaninctest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
velaninctest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
vertextest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
vyairemedicaltest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
waynedev,wmIntegrateUsers=No,wmConnectionMethod=httpPost
waynetest,wmIntegrateUsers=No,wmConnectionMethod=httpPost
wdcdev,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
wdcqas,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
willisleasetest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
willisleasetest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
willscottest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
willscottest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
winzercorptest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
womchiletest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
worthingtontest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
worthingtontest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
xeroxukdev1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
xeroxuktest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
xeroxuktest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
yamatoscientifictest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
yfypackinctest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
yfypackinctest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
zaminetest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
zuelligpharmadev1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
zuelligpharmatest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
