SITENAME,wmIntegrateUsers,wmConnectionMethod
dv-uat3vrts,wmIntegrateUsers=No,wmConnectionMethod=httpPost
dv-uat4vrts,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dv-uatsymc,wmIntegrateUsers=No,wmConnectionMethod=httpPost
dv-uatvrts,wmIntegrateUsers=No,wmConnectionMethod=httpPost
ebaratest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
emsertilellctest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
epsatest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
equinixincdev1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
equinixincdev2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
equinixinctest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
equinixinctest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
equinixincuat1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
equinixincuat2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
eriinctest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
eriinctest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
esgaritest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
euroxeroxemea,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
evalmhc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
fadvtest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
fadvtest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
farmacosesptest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
farmacosesptest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
farmacosesptest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
fgiserviciostest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
flexnovgp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
fmrtest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
formfactortest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
formfactortest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
formfactortest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
fuyijiajutest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
gasnaturaltest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
gedigitaltest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
genpactdev,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
genpacttest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
genpactuat,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
geogtest,wmIntegrateUsers=No,wmConnectionMethod=httpPost
gepwbmbreakfix,wmIntegrateUsers=No,wmConnectionMethod=httpPost
gepwbmtest2,wmIntegrateUsers=No,wmConnectionMethod=httpPost
gepwtest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
gigtest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
gloryltddev1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
gloryltdtest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
gpspsdev,wmIntegrateUsers=No,wmConnectionMethod=httpPost
gpspstest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
griffintest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
grupogimtest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
hikvisiontest1,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
hogarestest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
